folder_id,file,compiler,version,optimization,bin_min_size,bin_max_size,bin_mean_size
KVHS,KVHS1.c,gcc,11,-O1,1444,1444,1444.0
KVHS,KVHS1.c,gcc,11,-O2,1438,1438,1438.0
KVHS,KVHS1.c,gcc,11,-O3,1438,1438,1438.0
KVHS,KVHS1.c,gcc,11,-Os,1431,1431,1431.0
KVHS,KVHS1.c,gcc,11,-Ofast,1522,1522,1522.0
KVHS,KVHS1.c,gcc,12,-O0,1455,1455,1455.0
KVHS,KVHS1.c,gcc,12,-O1,1446,1446,1446.0
KVHS,KVHS1.c,gcc,12,-O2,1438,1438,1438.0
KVHS,KVHS1.c,gcc,12,-O3,1438,1438,1438.0
KVHS,KVHS1.c,gcc,12,-Os,1431,1431,1431.0
KVHS,KVHS1.c,gcc,12,-Ofast,1522,1522,1522.0
QPRP,QPRP1.c,gcc,9,-O0,1452,1452,1452.0
QPRP,QPRP1.c,gcc,9,-O1,1444,1444,1444.0
QPRP,QPRP1.c,gcc,9,-O2,1438,1438,1438.0
QPRP,QPRP1.c,gcc,9,-O3,1438,1438,1438.0
QPRP,QPRP1.c,gcc,9,-Os,1431,1431,1431.0
QPRP,QPRP1.c,gcc,9,-Ofast,1522,1522,1522.0
QPRP,QPRP1.c,gcc,10,-O0,1452,1452,1452.0
QPRP,QPRP1.c,gcc,10,-O1,1444,1444,1444.0
QPRP,QPRP1.c,gcc,10,-O2,1438,1438,1438.0
QPRP,QPRP1.c,gcc,10,-O3,1438,1438,1438.0
QPRP,QPRP1.c,gcc,10,-Os,1431,1431,1431.0
QPRP,QPRP1.c,gcc,10,-Ofast,1522,1522,1522.0
QPRP,QPRP1.c,gcc,11,-O0,1455,1455,1455.0
QPRP,QPRP1.c,gcc,11,-O1,1444,1444,1444.0
QPRP,QPRP1.c,gcc,11,-O2,1438,1438,1438.0
QPRP,QPRP1.c,gcc,11,-O3,1438,1438,1438.0
QPRP,QPRP1.c,gcc,11,-Os,1431,1431,1431.0
QPRP,QPRP1.c,gcc,11,-Ofast,1522,1522,1522.0
QPRP,QPRP1.c,gcc,12,-O0,1455,1455,1455.0
QPRP,QPRP1.c,gcc,12,-O1,1446,1446,1446.0
QPRP,QPRP1.c,gcc,12,-O2,1438,1438,1438.0
QPRP,QPRP1.c,gcc,12,-O3,1438,1438,1438.0
QPRP,QPRP1.c,gcc,12,-Os,1431,1431,1431.0
QPRP,QPRP1.c,gcc,12,-Ofast,1522,1522,1522.0
