model_name,seconds,code_name,caracteristcs,length,previous_code,folder_id
meta-llama/Meta-Llama-3.1-8B-Instruct,26.53284382820129,FLBU1,2,65,,FLBU
meta-llama/Meta-Llama-3.1-8B-Instruct,20.03350090980529,FLBU2,7,114,FLBU0,FLBU
meta-llama/Meta-Llama-3.1-8B-Instruct,14.028948068618774,FLBU3,10,66,FLBU1,FLBU
meta-llama/Meta-Llama-3.1-8B-Instruct,4.464316368103027,FLBU4,13,62,FLBU2,FLBU
meta-llama/Meta-Llama-3.1-8B-Instruct,20.85717177391052,FLBU5,1,84,FLBU3,FLBU
meta-llama/Meta-Llama-3.1-8B-Instruct,17.89927840232849,FLBU6,10,108,FLBU5,FLBU
meta-llama/Meta-Llama-3.1-8B-Instruct,14.62741994857788,FLBU7,3,130,FLBU6,FLBU
meta-llama/Meta-Llama-3.1-8B-Instruct,26.924761056900024,MJTV1,10,44,,MJTV
meta-llama/Meta-Llama-3.1-8B-Instruct,23.138757944107056,MJTV2,10,60,MJTV1,MJTV
meta-llama/Meta-Llama-3.1-8B-Instruct,20.97682380676269,MJTV3,1,59,MJTV2,MJTV
meta-llama/Meta-Llama-3.1-8B-Instruct,19.594767093658447,MJTV4,14,66,MJTV3,MJTV
meta-llama/Meta-Llama-3.1-8B-Instruct,27.12611603736877,TEEU1,12,111,,TEEU
meta-llama/Meta-Llama-3.1-8B-Instruct,14.235710382461548,TEEU2,3,124,TEEU1,TEEU
meta-llama/Meta-Llama-3.1-8B-Instruct,27.12035775184632,PGGC1,12,29,,PGGC
meta-llama/Meta-Llama-3.1-8B-Instruct,18.56893014907837,PGGC2,13,30,PGGC1,PGGC
meta-llama/Meta-Llama-3.1-8B-Instruct,7.112604141235352,PGGC3,13,29,PGGC2,PGGC
meta-llama/Meta-Llama-3.1-8B-Instruct,24.39109921455384,PGGC4,3,41,PGGC3,PGGC
meta-llama/Meta-Llama-3.1-8B-Instruct,21.722893953323364,PGGC5,3,66,PGGC4,PGGC
meta-llama/Meta-Llama-3.1-8B-Instruct,5.911510705947876,PGGC6,1,84,PGGC5,PGGC
meta-llama/Meta-Llama-3.1-8B-Instruct,60.84458661079407,XWIT1,14,21,,XWIT
meta-llama/Meta-Llama-3.1-8B-Instruct,3.717264890670776,XWIT2,12,42,XWIT1,XWIT
meta-llama/Meta-Llama-3.1-8B-Instruct,15.573635816574097,XWIT3,8,98,XWIT2,XWIT
meta-llama/Meta-Llama-3.1-8B-Instruct,49.9789035320282,XWIT4,6,156,XWIT3,XWIT
meta-llama/Meta-Llama-3.1-8B-Instruct,42.671518087387085,XWIT5,5,222,XWIT4,XWIT
meta-llama/Meta-Llama-3.1-8B-Instruct,61.22564053535461,RKAE1,9,172,,RKAE
meta-llama/Meta-Llama-3.1-8B-Instruct,12.026910305023192,RKAE2,9,173,RKAE1,RKAE
meta-llama/Meta-Llama-3.1-8B-Instruct,60.984689712524414,WCMX1,5,201,,WCMX
meta-llama/Meta-Llama-3.1-8B-Instruct,16.4384765625,NCXY1,10,39,,NCXY
meta-llama/Meta-Llama-3.1-8B-Instruct,3.099884271621704,NCXY2,5,70,NCXY1,NCXY
meta-llama/Meta-Llama-3.1-8B-Instruct,8.173280954360962,NCXY3,7,123,NCXY2,NCXY
meta-llama/Meta-Llama-3.1-8B-Instruct,7.405083894729614,NCXY4,4,141,NCXY3,NCXY
meta-llama/Meta-Llama-3.1-8B-Instruct,16.254910469055176,VRDR1,5,139,,VRDR
meta-llama/Meta-Llama-3.1-8B-Instruct,6.0481696128845215,VRDR2,14,143,VRDR1,VRDR
meta-llama/Meta-Llama-3.1-8B-Instruct,6.173288345336914,VRDR3,1,139,VRDR2,VRDR
meta-llama/Meta-Llama-3.1-8B-Instruct,6.533154010772705,VRDR4,9,150,VRDR3,VRDR
meta-llama/Meta-Llama-3.1-8B-Instruct,16.598204851150513,THCZ1,13,25,,THCZ
meta-llama/Meta-Llama-3.1-8B-Instruct,2.651529788970948,THCZ2,10,60,THCZ1,THCZ
meta-llama/Meta-Llama-3.1-8B-Instruct,12.077889919281006,THCZ3,6,104,THCZ2,THCZ
meta-llama/Meta-Llama-3.1-8B-Instruct,7.229466199874878,THCZ4,7,172,THCZ3,THCZ
meta-llama/Meta-Llama-3.1-8B-Instruct,37.66000962257385,KMWP1,8,68,,KMWP
meta-llama/Meta-Llama-3.1-8B-Instruct,30.5061948299408,KMWP2,6,111,KMWP1,KMWP
meta-llama/Meta-Llama-3.1-8B-Instruct,14.130704402923584,KMWP3,6,151,KMWP2,KMWP
